"Agency","Subagency","accountID","Title","Obligation"
"Department of Justice","National Security Division",933,"Salaries and Expenses, National Security Division, Justice",48307663.24
"Department of Justice","Radiation Exposure Compensation",906,"Payment to the Radiation Exposure Compensation Trust Fund, Justice",65000000
"Department of Justice","Radiation Exposure Compensation",959,"Radiation Exposure Compensation Trust Fund, Justice",29157095.74
"Department of Justice","Interagency Law Enforcement",900,"Interagency Crime and Drug Enforcement, Interagency Law Enforcement, Justice",317366808.47
"Department of Justice","Federal Bureau of Investigation",895,"Salaries and Expenses, Federal Bureau of Investigation, Justice",4335270879.11
"Department of Justice","Federal Bureau of Investigation",896,"Construction, Federal Bureau of Investigation, Justice",106107208.6
"Department of Justice","Drug Enforcement Administration",930,"Salaries and Expenses, Drug Enforcement Administration, Justice",1226250804.34
"Department of Justice","Drug Enforcement Administration",931,"Construction, Drug Enforcement Administration, Justice",0
"Department of Justice","Drug Enforcement Administration",941,"Diversion Control Fee Account, Justice",165663757.22
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives",923,"Salaries and Expenses, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",643308099.17
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives",924,"Construction, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",0
"Department of Justice","Federal Prison System",928,"Salaries and Expenses, Federal Prison System",3529684636.08
"Department of Justice","Federal Prison System",925,"Buildings and Facilities, Federal Prison System, Justice",20915393.8
"Department of Justice","Federal Prison System",934,"Prison Industries Fund, Justice",245684081.83
"Department of Justice","Federal Prison System",962,"Commissary Funds, Federal Prisons, Justice",172459715.51
"Department of Justice","Office of Justice Programs",910,"Research, Evaluation, and Statistics, Office of Justice Programs, Justice",75891491.16
"Department of Justice","Office of Justice Programs",919,"Salaries and Expenses, Office of Justice Programs, Justice",0
"Department of Justice","Office of Justice Programs",913,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",59892371.62
"Department of Justice","Office of Justice Programs",907,"Weed and Seed Program Fund, Justice",0
"Department of Justice","Office of Justice Programs",915,"Community Oriented Policing Services, Office of Justice Programs, Justice",20493910.01
"Department of Justice","Office of Justice Programs",968,"Office of Justice Programs, Community Oriented Policing Services, Violent Crime Reduction Programs, Justice",0
"Department of Justice","Office of Justice Programs",916,"Violence Against Women Prevention and Prosecution Programs, Office of Justice Programs, Justice",12861304.65
"Department of Justice","Office of Justice Programs",914,"Juvenile Justice Programs, Office of Justice Programs, Justice",12836453.48
"Department of Justice","Office of Justice Programs",912,"Public Safety Officers Benefits, Office of Justice Programs, Justice",44450381.14
"Department of Justice","Office of Justice Programs",937,"Crime Victims Fund, Justice",59106175.15
"Department of Justice","Office of Justice Programs",961,"Gifts, Crime Victims Fund, Office of Justice Programs, Justice",0
"Department of Justice","Office of Justice Programs",943,"Domestic Trafficking Victims' Fund, Office of Justice Programs, Justice",223069
"Department of Labor","Employment and Training Administration",993,"Training and Employment Service, Employment and Training Administration, Labor",1769311827.78
"Department of Labor","Employment and Training Administration",1019,"Salaries and Expenses, H-1B Funded, Training and Employment Services, Employment and Training Administration, Labor",125438911.76
"Department of Labor","Employment and Training Administration",1001,"Interior, Bureau of Indian Affairs",1257077.89
"Department of Labor","Employment and Training Administration",998,"Office of Job Corps, Employment and Training Administration, Labor",449783444.12
"Department of Labor","Employment and Training Administration",999,"Office of Job Corps - Recovery Act, Departmental Management, Labor",0
"Department of Labor","Employment and Training Administration",994,"Community Service Employment for Older Americans, Employment and Training Administration, Labor",170471889.23
"Department of Labor","Employment and Training Administration",1003,"TAA Community College and Career Training Grant Fund, Employee and Training Administration, Labor",0
"Department of Labor","Employment and Training Administration",1005,"Federal Unemployment Benefits and Allowances, Employment and Training Administration, Labor",182256396.23
"Department of Labor","Employment and Training Administration",997,"State Unemployment Insurance and Employment Service Operations, Employment and Training Administration, Labor",1674824381.07
"Department of Labor","Employment and Training Administration",1018,"Salaries and Expenses, H-1B Funded, State Unemployment Insurance and Employment Operations, Employment and Training Administration, Labor",7556798.56
"Department of Labor","Employment and Training Administration",996,"Payments to the Unemployment Trust Fund, Employment and Training Administration, Labor",6517000
"Department of Labor","Employment and Training Administration",989,"Short Time Compensation Programs, Employment and Training Administration, Labor",0
"Department of Labor","Employment and Training Administration",1006,"Advances to the Unemployment Trust Fund and Other Funds, Employment and Training Administration, Labor",0
"Department of Labor","Employment and Training Administration",1013,"Federal Additional Unemployment Compensation Program - Recovery Act, Employment and Training Administration, Labor",0
"Department of Labor","Employment and Training Administration",1014,"Federal Unemployment Compensation Program, Employment and Training Administration, Labor",1753097.66
"Department of Labor","Employment and Training Administration",992,"Program Administration, Employment and Training Administration, Labor",72318774.82
"Department of Labor","Employment and Training Administration",1027,"Unemployment Trust Fund - Treasury Managed",18646136671.89
"Department of Labor","Employee Benefits Security Administration",1012,"Salaries and Expenses, Employee Benefits Security Administration, Labor",85167623.81
"Department of Labor","Pension Benefit Guaranty Corporation",1015,"Pension Benefit Guaranty Corporation, Labor",3097693306.93
"Department of Labor","Office of Workers' Compensation Programs",984,"Salaries and Expenses, Office  of Workers' Compensation Programs, Labor",75126835.78
"Department of Labor","Office of Workers' Compensation Programs",1009,"Special Benefits, Office of Workers Compensation Program, Labor",1529469112.71
"Department of Labor","Office of Workers' Compensation Programs",1010,"Energy Employees Occupational Illness Compensation Fund, Labor",628651272.69
"Department of Labor","Office of Workers' Compensation Programs",1011,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",60771344.99
"Department of Labor","Office of Workers' Compensation Programs",990,"Special Benefits for Disabled Coal Miners, Office of Workers' Compensation Program, Labor",45354497.75
"Department of Labor","Office of Workers' Compensation Programs",1020,"Panama Canal Commission Compensation Fund, Labor",4496967.03
"Department of Labor","Office of Workers' Compensation Programs",1031,"Black Lung Disability Trust Fund - Treasury Managed",125306091.23
"Department of Labor","Office of Workers' Compensation Programs",1028,"Relief and Rehabilitation, Longshoremen's and Harbor Workers' Compensation Act, as Amended, Labor",53604102.78
"Department of Labor","Office of Workers' Compensation Programs",1030,"Relief and Rehabilitation, Workmen's Compensation Act, within the District of Columbia, Labor",3764360.96
"Department of Labor","Wage and Hour Division",980,"Salaries and Expenses, Wage and Hour Division, Labor",113182751.88
"Department of Labor","Wage and Hour Division",979,"Wage and Hour Division H-2B, Wage and Hour Division, Labor",0
"Department of Labor","Wage and Hour Division",1021,"H-1B and L Fraud Protection and Detection Account, Wage and Hour Division, Labor",25079497.56
"Department of Labor","Office of Federal Contract Compliance Programs",981,"Salaries and Expenses, Office of Federal Contract and Compliance Programs, Labor",42219118.38
"Department of Labor","Office of Labor Management Standards",982,"Salaries and Expenses, Office of Labor Management and Standards, Labor",20360375.54
"Department of Labor","Occupational Safety and Health Administration",1007,"Salaries and Expenses, Occupational Safety and Health Administration",281532039.39
"Department of Labor","Mine Safety and Health Administration",1008,"Salaries and Expenses, Mine Safety and Health Administration",179013393.95
"Department of Labor","Bureau of Labor Statistics",1004,"Salaries and Expenses, Bureau of Labor Statistics",299095133.08
"Department of Labor","Departmental Management",986,"Salaries and Expenses, Departmental Management, Labor",193354407.71
"Department of Labor","Departmental Management",1029,"Gifts and Bequests, Departmental Management, Labor",0
"Department of Labor","Departmental Management",987,"Salaries and Expenses, Office of Disability Employment Policy, Labor",7149988.22
"Department of Labor","Departmental Management",977,"Office of the Inspector General, Departmental Management, Labor",39985338.32
"Department of Labor","Departmental Management",978,"Office of Inspector General - Recovery Act, Departmental Management, Labor",0
"Department of Labor","Departmental Management",985,"Veterans Employment and Training, Departmental Management, Labor",141694342.86
"Department of Labor","Departmental Management",983,"IT Modernization, Departmental Management, Labor",3757891.79
"Department of Labor","Departmental Management",1017,"Working Capital Fund, Labor",169986560.16
"Department of State","Administration of Foreign Affairs",1148,"H-1B and L Fraud Prevention and Detection Account, State",5833833.59
"Department of State","Administration of Foreign Affairs",1099,"Diplomatic and Consular Programs, State",5229839170.03
"Department of State","Administration of Foreign Affairs",1097,"Salaries and Expenses, State",0
"Department of State","Administration of Foreign Affairs",1102,"International Information Programs, State",0
"Department of State","Administration of Foreign Affairs",1101,"Conflict Stabilization Operations, State",3326527.43
"Department of State","Administration of Foreign Affairs",1100,"Capital Investment Fund, State",28828.97
"Department of State","Administration of Foreign Affairs",1108,"Centralized Information Technology Modernization Program, State",0
"Department of State","Administration of Foreign Affairs",1114,"Office of the Inspector General, State",71503156.6
"Department of State","Administration of Foreign Affairs",1105,"Educational and Cultural Exchange Programs,State",141421446.1
"Department of State","Administration of Foreign Affairs",1116,"Embassy Security, Construction, and Maintenance, State",2021748454.96
"Department of State","Administration of Foreign Affairs",1119,"Representation Allowances, State",3580383.2
"Department of State","Administration of Foreign Affairs",1109,"Protection of Foreign Missions and Officials, State",849546.86
"Department of State","Administration of Foreign Affairs",1110,"Emergencies in the Diplomatic and Consular Service, State",6380895.51
"Department of State","Administration of Foreign Affairs",1112,"Buying Power Maintenance Account, State",0
"Department of State","Administration of Foreign Affairs",1111,"Payment to the American Institute in Taiwan, State",17173273.18
"Department of State","Administration of Foreign Affairs",1118,"Payment to the Foreign Service Retirement and Disability Fund, State",91164019
"Department of State","Administration of Foreign Affairs",1147,"Foreign Service National Defined Contributions Retirement Fund, State",7895139.13
"Department of State","Administration of Foreign Affairs",1142,"Working Capital Fund, State",2168075778.46
"Department of State","Administration of Foreign Affairs",1121,"Repatriation Loans, Program Account, State",745835
"Department of State","Administration of Foreign Affairs",1120,"Repatriation Loans, Liquidating Account, State",0
"Department of State","Administration of Foreign Affairs",1169,"Foreign Service Retirement and Disability Fund, State",477042749.97
"Department of State","Administration of Foreign Affairs",1172,"Foreign Service National Separation Liability Trust Fund, State",11860200.21
"Department of State","Administration of Foreign Affairs",1174,"Unconditional Gift Fund, State",4159566.39
"Department of State","Administration of Foreign Affairs",1175,"Conditional Gift Fund, General, State",589716.46
"Department of State","Administration of Foreign Affairs",1168,"Trust Funds, State",0
"Department of State","International Organizations and Conferences",1135,"Contributions to International Organizations, State",1037277951
"Department of State","International Organizations and Conferences",1133,"Contributions for International Peacekeeping Activities, State",108499426
"Department of State","International Organizations and Conferences",1134,"International Conferences and Contingencies, State",0
"Department of State","International Organizations and Conferences",1136,"Arrearage Payments, State",0
"Department of State","International Commissions",1126,"Salaries and Expenses, International Boundary and Water Commission, United States and Mexico, State",27594144.02
"Department of State","International Commissions",1127,"Construction, International Boundary and Water Commission, United States and Mexico, State",17427772.42
"Department of State","International Commissions",1129,"American Sections, International Commissions, State",5646306.85
"Department of State","International Commissions",1130,"International Fisheries Commissions, State",13765319.8
"Department of State","Other",1124,"Global HIV/AIDS Initiative, State",714418.91
"Department of State","Other",1125,"Global Health Programs, State",3432454948.21
"Department of State","Other",1137,"Migration and Refugee Assistance, State",1255117766.58
"Department of State","Other",1140,"Center for Eastern-Western Dialogue Trust Fund, State",0
"Department of State","Other",181,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",5815.93
"Department of State","Other",2233,"Complex Crises Fund, Funds Appropriated to the President, US Agency for International Development",8798432.35
"Department of State","Other",213,"International Narcotics Control and Law Enforcement, International Security Assistance, State",276466903.54
"Department of State","Other",1139,"Andean Counterdrug Programs, State",538.12
"Department of State","Other",1132,"Democracy Fund, State",43110951.36
"Department of State","Other",1113,"Payment to the Asia Foundation, State",9753302.6
"Department of State","Other",1106,"National Endowment for Democracy, State",97532305
"Department of State","Other",1103,"East-West Center, State",5030000
"Department of State","Other",1104,"North/South Center, State",0
"Department of State","Other",1146,"International Litigation Fund, State",1385315.5
"Department of State","Other",1145,"International Center, Washington, D. C., State",553221.62
"Department of State","Other",1138,"United States Bilateral Science and Technology Agreements, State",0
"Department of State","Other",1143,"Fisherman's Protective Fund, Special Account, State",0
"Department of State","Other",1144,"Fishermen's Guaranty Fund, State",0
"Department of State","Other",1171,"Eastern Europe Student Exchange Endowment Fund, State",0
"Department of State","Other",1170,"Israeli Arab Scholarship Program, State",0
"Department of State","Other",1167,"American Studies Endowment Fund, State",0
"Department of State","Other",1107,"Russian Far East Technical Assistance Center, State",0
"Department of State","Other",1173,"Center for Middle Eastern-Western Dialogue Trust Fund, State",0
"Department of Transportation","Office of the Secretary",1940,"Research and Technology, Office of the Secretary, Transportation",9930997.58
"Department of Transportation","Office of the Secretary",1789,"Salaries and Expenses, Office of the Secretary, Transportation",51121784.29
"Department of Transportation","Office of the Secretary",2050,"Gifts and Bequests, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1795,"Rental Payments, Office of the Secretary",0
"Department of Transportation","Office of the Secretary",1813,"National Surface Transportation and Innovative Finance Bureau, Transportation",0
"Department of Transportation","Office of the Secretary",1807,"National Infrastructure Investments, Office of the Secretary, Transportation",110303376.87
"Department of Transportation","Office of the Secretary",1974,"Working Capital Fund, Transportation Systems Center, Transportation",211969392.3
"Department of Transportation","Office of the Secretary",1794,"Financial Management Capital, Office of the Secretary, Transportation",2217000
"Department of Transportation","Office of the Secretary",1812,"Cyber Security Initiatives, Office of the Secretary, Transportation",1830041.43
"Department of Transportation","Office of the Secretary",1796,"Office of Civil Rights, Office of the Secretary, Transportation",3958450.85
"Department of Transportation","Office of the Secretary",1797,"Minority Business Outreach, Office of the Secretary, Transportation",1871549.79
"Department of Transportation","Office of the Secretary",1808,"New Headquarters Building, Office of the Secretary, Transportation",61501.16
"Department of Transportation","Office of the Secretary",1809,"Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1811,"Compensation for General Aviation Operations, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1806,"Transportation Planning, Research and Development, Office of the Secretary, Transportation",2933275.37
"Department of Transportation","Office of the Secretary",1791,"Transportation Research Activities Overseas, Special Foreign Currency Program, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1979,"Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",77328889.2
"Department of Transportation","Office of the Secretary",1973,"Working Capital Fund, Transportation",193451761.65
"Department of Transportation","Office of the Secretary",1810,"Minority Business Resource Center Program, Office of the Secretary, Transportation",100272.52
"Department of Transportation","Office of the Secretary",2029,"Payment to Air Carriers, Office of the Secretary, Transportation",111894037
"Department of Transportation","Federal Aviation Administration",1928,"Operations, Federal Aviation Administration, Transportation",4638575256.1
"Department of Transportation","Federal Aviation Administration",1929,"Facilities, Engineering and Development, Federal Aviation Administration, Transportation",0
"Department of Transportation","Federal Aviation Administration",1978,"Aviation User Fees, Federal Aviation Administration, Transportation",12.12
"Department of Transportation","Federal Aviation Administration",1954,"Aviation Insurance Revolving Fund, Transportation",273930
"Department of Transportation","Federal Aviation Administration",1975,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",246495662.1
"Department of Transportation","Federal Aviation Administration",2017,"Airport and Airway Trust Fund - Treasury Managed, Transportation",14271
"Department of Transportation","Federal Aviation Administration",2019,"Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",82153525.48
"Department of Transportation","Federal Aviation Administration",2020,"Facilities and Equipment, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",1121901963.01
"Department of Transportation","Federal Aviation Administration",2021,"Research, Engineering and Development, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",46883513.18
"Department of Transportation","Federal Aviation Administration",2018,"Operations, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",4545005471
"Department of Transportation","Federal Highway Administration",1866,"Des Moines Inner Loop Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1823,"Denali Access System Program, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1877,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1879,"Miscellaneous Massachusetts Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1878,"Arkansas I-69 Connector, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1860,"Urban Highway Corridor and Bicycle Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1820,"Surface Transportation Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1817,"Off-System Roads, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1818,"Access Highways to Public Recreation Areas on Certain Lakes, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1821,"Inter-American Highway, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1822,"Bikeway Program, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1824,"Bridge Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1825,"Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1826,"Highway Widening and Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1830,"Public Lands Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1832,"Highway Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1833,"Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation",215840.68
"Department of Transportation","Federal Highway Administration",1834,"Highway Studies Feasibility, Design, Environmental, Engineering, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1836,"Alaska Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1838,"Highway Beautification, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1843,"Delta Regional Transportation Development Program, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1844,"Darien Gap Highway, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1845,"Rail Crossings Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1846,"Territorial Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1847,"Railroad-Highway Crossings Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1848,"Interstate Transfer Grants-Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1849,"Highway Widening Demonstration, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1850,"Intersection Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1851,"Highway Capacity Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1852,"Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1853,"Indiana Industrial Corridor Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1854,"Corridor H Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1855,"Road Extension Demonstration, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1856,"Oklahoma Highway Widening Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1857,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1858,"Kentucky Bridge Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1859,"Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1861,"Urban Airport Access Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1862,"Expressway Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1863,"Alabama Feasibility Study, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1864,"Ebensburg Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1865,"Highway Demonstration Projects, Preliminary Engineering, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1867,"Corridor G Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1868,"Corning Bypass Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1869,"Spring Mountain Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1870,"Ottumwa Road Extension Project, Federal Highway Administration",0
"Department of Transportation","Federal Highway Administration",1871,"Turquoise Trail Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1872,"Highway 20 Realignment Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1873,"Ramp Relocation and Reconstruction Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1874,"Corridor D Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1875,"Highway Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1827,"Appalachian Corridor Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1828,"Congestion Mitigation, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1829,"Cross Westchester Expressway, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1831,"Schenectady Bridge, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1881,"Woodrow Wilson Memorial Bridge, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1837,"Surface Transportation Priorities, Federal Highway Administration, Transportation",10886495.23
"Department of Transportation","Federal Highway Administration",1816,"Emergency Relief Program, Federal Highway Administration, Transportation",109935502.9
"Department of Transportation","Federal Highway Administration",1842,"I-35W Bridge Repair and Reconstruction, Federal Highway Administration, Transportation",317645.52
"Department of Transportation","Federal Highway Administration",1876,"Appalachian Development System, Federal Highway Administration, Transportation",1381
"Department of Transportation","Federal Highway Administration",1880,"Alabama and West Virginia Highway Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1841,"State Infrastructure Banks, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1819,"Forest Service, Agriculture",0
"Department of Transportation","Federal Highway Administration",1835,"Payment to the Highway Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1839,"TIFIA General Fund Program Account, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2046,"Right-of-Way Revolving Fund, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2016,"Highway Trust Fund - Treasury Managed, Transportation",1769207
"Department of Transportation","Federal Highway Administration",2014,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",13149433180.86
"Department of Transportation","Federal Highway Administration",1840,"Highway Infrastructure Programs, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2010,"Appalachian Development Highway System, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2047,"Technical Assistance, United States Dollars Advanced from Foreign Governments, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2005,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",12517033.21
"Department of Transportation","Federal Highway Administration",2027,"Contributions for Highway Research Program, Federal Highway Administration, Transportation",101214.22
"Department of Transportation","Federal Highway Administration",2028,"Cooperative Work, Forest Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2035,"International Highway Transportation Outreach Program, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2052,"Equipment, Supplies, Etc., for Cooperating Countries, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2040,"Urban Highway Corridor and Bicycle Transportation Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2034,"Highway Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1992,"Intermodal Urban Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1993,"Carpool and Vanpool Projects, Federal Highway Administration",0
"Department of Transportation","Federal Highway Administration",1995,"Trust Fund Share of Other Highway Programs, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1996,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2004,"Vehicular and Pedestrian Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2007,"Bridge Capacity Improvement, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2011,"Highway Safety and Economic Development Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2009,"Construction and Improvements to Halls Mills Road, New Jersey, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2012,"Highway-Railroad Grade Crossing Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2013,"Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2015,"Highway Safety Improvement Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2022,"Corridor Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2008,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",4931593.56
"Department of Transportation","Federal Highway Administration",2036,"Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2037,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2038,"Kentucky Bridge Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2039,"Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2041,"Pennsylvania Toll Road Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2042,"Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2043,"Highway Projects, Federal Highway Administration, Transportation",360.55
"Department of Transportation","Federal Highway Administration",2045,"Metropolitan Planning Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2044,"Mineola Grade Crossing, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",2002,"Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Motor Carrier Safety Administration",2006,"Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",0
"Department of Transportation","Federal Motor Carrier Safety Administration",2003,"National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation",0
"Department of Transportation","Federal Motor Carrier Safety Administration",2024,"Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",77291653.01
"Department of Transportation","Federal Motor Carrier Safety Administration",2025,"Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",127394683.75
"Department of Transportation","National Highway Traffic Safety Administration",1885,"Consumer Assistance to Recycle and Save Program, National Highway Traffic Safety Administration, Transportation",0
"Department of Transportation","National Highway Traffic Safety Administration",1882,"Operations and Research, National Highway Traffic Safety Administration, Transportation",39810519.16
