ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,LegalEntityCountyName,,Name of the county in which the awardee or recipient’s legal business address is located.,5(G),18,Fairfax,7,,,,,,Derived Field (from LegalEntityZIP+4).,40,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityCountyCode,,Three-position numeric code for county from  InterNational Committee for Information Technology Standards (ANSI INCITS) county codes.,5(G)(i),19,11,6,,,,,,Derived Field (from LegalEntityZIP+4).,3,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityStateName,,State where the awardee or recipient is located.,5(D)(i),20,Minnesota,36,,,,,,Derived Field (from LegalEntityZIP+4).,50,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityStateCode,,"United States Postal Service (USPS) two-letter abbreviation for the state or territory in which the awardee or recipient’s legal business address is located. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.",5(D),21,NC,8,,,,,,Derived Field (from LegalEntityZIP+4).,2,Derived,State,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityZIP5,,USPS five digit zoning code associated with the awardee or recipient’s legal business address. This field must be blank for non-US addresses.,5(E)(i),22,55401,9,,,,,,This field is not required for aggregate records.,5,Conditional per Validation Rule,,,,string,"D2, D11",File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityZIPLast4,,USPS four digit extension code associated with the awardee or recipient’s legal business address. This must be blank for non-US addresses,5(E)(ii),23,5769,9,,,,,,This field is not required for aggregate records.,4,Conditional per Validation Rule,Zip Code,,,string,"D2, D11",File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityCountryCode,,"Code for the country in which the awardee or recipient is located, using the International Standard for country codes (ISO) 3166-1 Alpha-3 GENC Profile, minus the codes listed for those territories and possessions of the United States already identified as 'states.'",7,24,USA,50,,,,,,This field is not required for aggregate records.,3,Required,Country,,,string,"D1, D2, D12",File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityForeignCityName,,For foreign recipients only: name of the city in which the awardee or recipient’s legal business address is located.,5(C.1),25,Toronto,5,,,,,,,40,Conditional per Validation Rule,City,,,string,D9,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityForeignProvinceName,,For foreign recipients only: name of the state or province in which the awardee or recipient’s legal business address is located.,5(D)(i.2),26,Ontario,36,,,,,,,25,Optional,Province,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityForeignPostalCode,,For foreign recipients only: foreign postal code in which the awardee or recipient's legal business address is located.,5(F),27,M5R 1X8,N/A,,,,,,"This is a new element, which will be reflected in and collected by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number",50,Optional,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,LegalEntityCongressionalDistrict,,The congressional district in which the awardee or recipient is located. This is not a required data element for non-U.S. addresses.,6,28,5,12,,,,,,Derived Field (from LegalEntityZIP+4).,2,Derived,Congressional District,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awardee and Recipient Entity Information
,,AwardeeOrRecipientUniqueIdentifier,,The unique identification number for an awardee or recipient. Currently the identifier is the 9-digit number assigned by DUN and Bradstreet (D&B) referred to as the DUNS® number.,2,1,,,,,,,,,9,Extracted,DUNS,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,UltimateParentUniqueIdentifier,,The unique identification number for the ultimate parent of an awardee or recipient. Currently the identifier is the 9-digit number maintained by D&B as the global parent DUNS® number.,3,2,,,,,,,,,9,Extracted,Global Parent DUNS,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,UltimateParentLegalEntityName,,The name of the ultimate parent of the awardee or recipient. Currently the name is from the global parent DUNS® number.,4,3,,,,,,,,,120,Extracted,Global Parent Legal Business Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer1FirstName,,"The first name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(A)(i),4,,,,,,,,,35,Extracted,Executive First Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer1MiddleInitial,,"The middle initial of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(A)(ii),5,,,,,,,,,1,Extracted,Executive Middle Initial,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer1LastName,,"The last name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(A)(iii),6,,,,,,,,,35,Extracted,Executive Last Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer1Amount,,"The cash and noncash dollar value earned by the one of the five most highly compensated 'Executives' during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.",10(A),7,,,,,,,,,38,Extracted,Total Compensation Amount,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer2FirstName,,"The first name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(B)(i),8,,,,,,,,,35,Extracted,Executive First Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer2MiddleInitial,,"The middle initial of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(B)(ii),9,,,,,,,,,1,Extracted,Executive Middle Initial,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer2LastName,,"The last name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(B)(iii),10,,,,,,,,,35,Extracted,Executive Last Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer2Amount,,"The cash and noncash dollar value earned by the one of the five most highly compensated 'Executives' during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.",10(B),11,,,,,,,,,38,Extracted,Total Compensation Amount,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer3FirstName,,"The last name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(C)(i),12,,,,,,,,,35,Extracted,Executive First Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer3MiddleInitial,,"The middle initial of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(C)(ii),13,,,,,,,,,1,Extracted,Executive Middle Initial,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer3LastName,,"The last name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(C)(iii),14,,,,,,,,,35,Extracted,Executive Last Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer3Amount,,"The cash and noncash dollar value earned by the one of the five most highly compensated 'Executives' during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.",10(C),15,,,,,,,,,38,Extracted,Total Compensation Amount,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer4FirstName,,"The first name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(D)(i),16,,,,,,,,,35,Extracted,Executive First Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer4MiddleInitial,,"The middle initial of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(D)(ii),17,,,,,,,,,1,Extracted,Executive Middle Initial,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer4LastName,,"The last name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(D)(iii),18,,,,,,,,,35,Extracted,Executive Last Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer4Amount,,"The cash and noncash dollar value earned by the one of the five most highly compensated 'Executives' during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.",10(D),19,,,,,,,,,38,Extracted,Total Compensation Amount,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer5FirstName,,"The first name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(E)(i),20,,,,,,,,,35,Extracted,Executive First Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer5MiddleInitial,,"The middle initial of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(E)(ii),21,,,,,,,,,1,Extracted,Executive Middle Initial,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer5LastName,,"The last name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(E)(iii),22,,,,,,,,,35,Extracted,Executive Last Name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer5Amount,,"The cash and noncash dollar value earned by the one of the five most highly compensated 'Executives' during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.",10(E),23,,,,,,,,,38,Extracted,Total Compensation Amount,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer1FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(A)(v),24,,,,,,,,,255,Extracted,(SAM Entity WSDL tag name) ../executiveCompensationDetail/name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer2FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(B)(v),25,,,,,,,,,255,Extracted,(SAM Entity WSDL tag name) ../executiveCompensationDetail/name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer3FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(C)(v),26,,,,,,,,,255,Extracted,(SAM Entity WSDL tag name) ../executiveCompensationDetail/name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer4FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(D)(v),27,,,,,,,,,255,Extracted,(SAM Entity WSDL tag name) ../executiveCompensationDetail/name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,,HighCompOfficer5FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(E)(v),28,,,,,,,,,255,Extracted,(SAM Entity WSDL tag name) ../executiveCompensationDetail/name,,,,,File E - Additional Awardee Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",AwardeeOrRecipientUniqueIdentifier,,The unique identification number for an awardee or recipient. Currently the identifier is the 9-digit number maintained by D&B as the global parent DUNS® number.,2,48,,,,,,"DUNS Number OR
Prime Awardee - DUNS Number",,,9,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityCongressionalDistrict,,"The congressional district in which the awardee or recipient is located. This is not a required data element for non-U.S. addresses.
 ",6,10,,,,,,"Sub-contractor - Address_Congressional District OR
Sub-awardee - Address_Congressional District",,,2,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityCountryCode,,"Code for the country in which the awardee or recipient is located, using the  International Standard for country codes (ISO) 3166-1 Alpha-3 GENC Profile, minus the codes listed for those territories and possessions of the United States already identified as 'states.'",7,11,,,,,,None,,,3,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityCountryName,,Country name where the awardee or recipient’s legal business address is located.,8,12,,,,,,"Sub-contractor - Address_Country OR
Sub-awardee - Address_Country",,,100,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",SubAwardeeOrRecipientLegalEntityName,,"The name of the awardee or recipient that relates to the unique identifier. For U.S. based companies, this name is what the business ordinarily files in formation documents with individual states (when required).",1(A),1,,,,,,"sub-contractor - Name OR
Sub-awardee Name",,,120,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer1Amount,,"The cash and noncash dollar value earned by the one of the five most highly compensated 'Executives' during the awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.",10(A),14,,,,,,"Sub-contractor_Amount OR
Sub-awardee_Amount",,,38,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer2Amount,,Same as 10(A).,10(B),16,,,,,,"Sub-contractor_Amount OR
Sub-awardee_Amount",,,38,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer3Amount,,Same as 10(A).,10(C),18,,,,,,"Sub-contractor_Amount OR
Sub-awardee_Amount",,,38,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer4Amount,,Same as 10(A).,10(D),20,,,,,,"Sub-contractor_Amount OR
Sub-awardee_Amount",,,38,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer5Amount,,Same as 10(A).,10(E),22,,,,,,"Sub-contractor_Amount OR
Sub-awardee_Amount",,,38,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",SubAwardeeOrRecipientUniqueIdentifier,,The unique identification number for an awardee or recipient. Currently the identifier is the 9-digit number assigned by D&B referred to as the DUNS® number.,2(A),2,,,,,,"sub-contractor - DUNSNumber OR
Sub-awardee - DUNS Number",,,9,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",SubAwardeeUltimateParentUniqueIdentifier,,The unique identification number for the ultimate parent of an awardee or recipient. Currently the identifier is the 9-digit number maintained by DUN and Bradstreet (D&B) as the global parent DUNS® number.,3(A),3,,,,,,"Sub-contractor Parent DUNS Number OR
Sub-awardee Parent DUNS Number",,,9,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",SubAwardeeUltimateParentLegalEntityName,,The name of the ultimate parent of the awardee or recipient. Currently the name is from the global parent DUNS® number.,4(A),4,,,,,,Parent Vendor Name,,,120,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityAddressLine1,,First line of the awardee or recipient’s legal business address where the office represented by the Unique Entity Identifier (as registered in the System for Award Management) is located.,5(A),5,,,,,,Sub-contractor - Address_Street-1,,,150,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityCityName,,Name of the city in which the awardee or recipient’s legal business address is located.,5(C),6,,,,,,Sub-contractor - Address_City,,,40,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityStateCode,,"United States Postal Service (USPS) two-letter abbreviation for the state or territory in which the awardee or recipient’s legal business address is located. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting. Report legal business address located in the Puerto Rico, Northern Mariana Islands, American Samoa, Guam, and U.S. Virgin Islands using USPS assigned state codes.",5(D),7,,,,,,"Sub-contractor - Address_State OR
Sub-awardee - Address_State",,,2,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityZIP+4,,USPS zoning code associated with the awardee or recipient’s legal business address. This is not a required data element for non-US addresses.,5(E)(iii),8,,,,,,"Sub-contractor - Address_Zip+4 OR
Sub-awardee - Address_Zip+4",,,10,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",LegalEntityForeignPostalCode,,For foreign recipients only: foreign postal code in which the awardee or recipient's legal business address is located.,5(F),9,,,,,,None,,,50,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer1FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(A)(v),13,,,,,,"Sub-contractor_Name OR
Sub-awardee_Name",,,255,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer2FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(B)(v),15,,,,,,"Sub-contractor_Name OR
Sub-awardee_Name",,,255,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer3FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(C)(v),17,,,,,,"Sub-contractor_Name OR
Sub-awardee_Name",,,255,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer4FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(D)(v),19,,,,,,"Sub-contractor_Name OR
Sub-awardee_Name",,,255,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,"procurement, financial assistance",HighCompOfficer5FullName,,"The name of an individual identified as one of the five most highly compensated 'Executives.' 'Executive' means officers, managing partners, or any other employees in management positions.",9(E)(v),21,,,,,,"Sub-contractor_Name OR
Sub-awardee_Name",,,255,Extracted,,,,,,File F - Sub-award Attributes,Awardee and Recipient Entity Information
,,AwardingAgencyName,,The name associated with a department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS),44,5,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awarding Entity Information
,,AwardingAgencyCode,,A department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS),45,4,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awarding Entity Information
,,AwardingSubTierAgencyName,,"Name of the level 2 organization that awarded, executed, or is otherwise responsible for the transaction.",46,3,,,,(FPDS Atom Feed XML tag name) awardContractID.agencyID.@name,N/A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awarding Entity Information
,,AwardingSubTierAgencyCode,,"Identifier of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",47,2,,,"Identifier used to link agency in FPDS-NG to award information. Name of the level 2 organization that awarded, executed or is otherwise responsible for the transaction. ",Contracting Agency Code,4A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awarding Entity Information
,,AwardingOfficeName,,"Name of the level n organization that awarded, executed or is otherwise responsible for the transaction.",48,42,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awarding Entity Information
,,AwardingOfficeCode,,"Identifier of the level n organization that awarded, executed or is otherwise responsible for the transaction.",49,41,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awarding Entity Information
,,AwardingAgencyName,,The name of the 3-digit CGAC agency code of the department or establishment of the Government to which the AwardingSubTierAgency is assigned.,44,36,"Education, Department of",N/A,,,,,,"Derived Field (from AwardingAgencyCode). 

This is a new element, which will be derived by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number",100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awarding Entity Information
,,AwardingAgencyCode,,The code representing the 3-digit CGAC agency code of the department or establishment of the Government to which the AwardingSubTierAgency is assigned.,45,37,91,N/A,,,,,,"This is a new element, which will be reflected in and collected by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number

Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",3,Conditional per Validation Rule,N/A,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Awarding Entity Information
,,AwardingSubTierAgencyName,,"The name of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",46,38,Substance Abuse And Mental Health Services Administration,35,,,,,,Derived Field (from AwardingAgencySubTierCode).,100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awarding Entity Information
,,AwardingSubTierAgencyCode,,"Identifier of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",47,39,2306,13,,,,,,"Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Other Enumeration Types' tab.",4,Required,N/A,,,string,"D1, D6",File D2 - Award and Awardee Attributes (Financial Assistance),Awarding Entity Information
,,AwardingOfficeName,,"Name of the level n organization that awarded, executed or is otherwise responsible for the transaction.",48,40,Parkersburg,N/A,,,,,,"Derived Field (from AwardingOfficeCode).

This is a new element, which will be derived by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number",100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awarding Entity Information
,,AwardingOfficeCode,,"Identifier of the level n organization that awarded, executed or is otherwise responsible for the transaction.",49,41,204,N/A,,,,,,"This is a new element, which will be reflected in and collected by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number

Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",6,Optional,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Awarding Entity Information
,"procurement, financial assistance",AwardingSubTierAgencyName,,"The name of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",46,28,,,,,,"Contracting Office Agency Name OR
Federal Agency Name",,,50,Extracted,,,,,,File F - Sub-award Attributes,Awarding Entity Information
,procurement,AwardingSubTierAgencyCode,,"Identifier of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",47,29,,,,,,Contracting Office AgencyID,,,4,Extracted,,,,,,File F - Sub-award Attributes,Awarding Entity Information
,,ObligationsIncurredByProgramObjectClass_CPE,Current Period End,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

For unexpired accounts:
Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. 

For expired accounts:
Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.",53/57(A)_CPE,38,-3500,,,,,,,"Crosswalks to SF-133 line 2190, Obligations Incurred, at the Program Activity/Object Class level, as of Current Period End. Do not include downward adjustments.",21,Required,,,,numeric,A19,File B - Object Class and Program Activity,Funding Entity Information
,,USSGL487100_DownwardAdjustmentsOfPriorYearUnpaidUndeliveredOrdersObligationsRecoveries_CPE,Current Period End,"The amount of recoveries during the current fiscal year resulting from downward adjustments to obligations originally recorded in a prior fiscal year in USSGL account 480100, 'Undelivered Orders - Obligations, Unpaid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53/57(A)_CPE,39,4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B3,File B - Object Class and Program Activity,Funding Entity Information
,,USSGL497100_DownwardAdjustmentsOfPriorYearUnpaidDeliveredOrdersObligationsRecoveries_CPE,Current Period End,"The amount of recoveries that were originally recorded in a prior fiscal year during the fiscal year resulting from downward adjustments to USSGL account 490100, 'Delivered Orders - Obligations, Unpaid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(c)_CPE,40,4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B4,File B - Object Class and Program Activity,Funding Entity Information
,,USSGL487200_DownwardAdjustmentsOfPriorYearPrepaidAdvancedUndeliveredOrdersObligationsRefundsCollected_CPE,Current Period End,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, 'Undelivered Orders - Obligations, Prepaid/Advanced.'  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(c)_CPE,41,4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B6,File B - Object Class and Program Activity,Funding Entity Information
,,USSGL497200_DownwardAdjustmentsOfPriorYearPaidDeliveredOrdersObligationsRefundsCollected_CPE,Current Period End,"The amount of cash refunds during the fiscal year resulting from downward adjustments to USSGL account 490200, 'Delivered Orders - Obligations, Paid,' that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(c)_CPE,42,4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B7,File B - Object Class and Program Activity,Funding Entity Information
,,DeobligationsRecoveriesRefundsdOfPriorYearByProgramObjectClass_CPE,Current Period End,"The amount of downward adjustments to obligations and outlays incurred resulting from deobligations, recoveries, or refunds collected, at the TAS / Program Activity / Object Class level. The adjustments are to the obligations and outlays which were made in a prior year.",54(A)i_CPE,43,3500,,,,,,,"Include current fiscal year activity per Program Activity/Object Class for the following SGLs: 4871, 4872, 4971, 4972.",21,Required,,,,numeric,B13,File B - Object Class and Program Activity,Funding Entity Information
